Ver.Nr.,Titel semunabh.,Form,Stg,Modul Kürzel(Nummer),Modul Kürzel(ModulCode),VGruppe,Semester,Titel semabh.,PG,Tag,von,bis,Rhyth.,Datum von,Datum bis,Raum,Anzahl   der   Teilnehmer,Durchf. Dozierende,Verantw. Dozierende
LV-12-105-012,Adaptive Numerische Verfahren für Operatorgleichungen,Vorlesung,"Bachelor Wirtschaftsmathematik (20162), Master Informatik (20162), Master Mathematik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Wirtschaftsmathematik (20162), Bachelor Wirtschaftsmathematik (20162), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Informatik (20181), Master Mathematik (20181), Master Wirtschaftsmathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Physik (20201), Bachelor Physik (20201)", (128810010), (88-105-20162),,SoSe 2022,Adaptive Numerische Verfahren für Operatorgleichungen,1. PG,Di,14:00,16:00,woch,12.04.2022,12.07.2022,3060/+3/A14, ,,"Hansen, M.; "
LV-12-105-012,Adaptive Numerische Verfahren für Operatorgleichungen,Vorlesung,"Bachelor Wirtschaftsmathematik (20162), Master Informatik (20162), Master Mathematik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Wirtschaftsmathematik (20162), Bachelor Wirtschaftsmathematik (20162), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Informatik (20181), Master Mathematik (20181), Master Wirtschaftsmathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Physik (20201), Bachelor Physik (20201)", (128810010), (88-105-20162),,SoSe 2022,Adaptive Numerische Verfahren für Operatorgleichungen,1. PG,Do,16:00,18:00,woch,14.04.2022,14.07.2022,3060/+3/A14, ,,"Hansen, M.; "
LV-12-079-180,Agiles und klassisches Requirements-Engineering,Vorlesung,"Bachelor Informatik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Master Informatik (20181), Master Wirtschaftsinformatik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), Master Physik - Vertiefung und Forschung (20201), Bachelor Physik (20191), Bachelor Physik (20191), Master Physik - Vertiefung und Forschung (20191), Bachelor Physik (20201), Bachelor Physik (20201), Master Cultural Data Studies (20212)",CS540(128250100),CS540(82-277-20181),,SoSe 2022,Agiles und klassisches Requirements-Engineering,1. PG,Mo,10:00,12:30,14tägl,11.04.2022,11.07.2022,3060/+3/A16, ,,"Kunstmann, T.; "
LV-12-105-014,Aktuarwissenschaften: Risikotheorie,Vorlesung/Übung,"Bachelor Wirtschaftsmathematik (20162), Master Informatik (20162), Master Mathematik (20102), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Wirtschaftsmathematik (20102), Master Wirtschaftsmathematik (20162), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20162), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Informatik (20181), Master Mathematik (20181), Master Wirtschaftsmathematik (20181), Bachelor Mathematik (7 Sem.) (20212), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212)"," (12827130),  (128830180)"," (82-MAT-20102),  (88-918-20162)",,SoSe 2022,Aktuarwissenschaften: Risikotheorie  Aspekte der Schadenversicherungsmathematik,1. PG,Di,16:00,18:00,woch,12.04.2022,12.07.2022,2370/00/0020, ,,"Schüte, M.; Holzmann, H.; "
LV-12-105-014,Aktuarwissenschaften: Risikotheorie,Vorlesung/Übung,"Bachelor Wirtschaftsmathematik (20162), Master Informatik (20162), Master Mathematik (20102), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Wirtschaftsmathematik (20102), Master Wirtschaftsmathematik (20162), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20162), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Informatik (20181), Master Mathematik (20181), Master Wirtschaftsmathematik (20181), Bachelor Mathematik (7 Sem.) (20212), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212)"," (12827130),  (128830180)"," (82-MAT-20102),  (88-918-20162)",,SoSe 2022,Aktuarwissenschaften: Risikotheorie  Aspekte der Schadenversicherungsmathematik,1. PG,Mo,16:00,20:00,woch,11.04.2022,11.07.2022,, ,,"Schüte, M.; Holzmann, H.; "
LV-12-105-014,Aktuarwissenschaften: Risikotheorie,Vorlesung/Übung,"Bachelor Wirtschaftsmathematik (20162), Master Informatik (20162), Master Mathematik (20102), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Wirtschaftsmathematik (20102), Master Wirtschaftsmathematik (20162), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20162), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Informatik (20181), Master Mathematik (20181), Master Wirtschaftsmathematik (20181), Bachelor Mathematik (7 Sem.) (20212), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212)"," (12827130),  (128830180)"," (82-MAT-20102),  (88-918-20162)",,SoSe 2022,Aktuarwissenschaften: Risikotheorie  Aspekte der Schadenversicherungsmathematik,1. PG,Mo,16:00,20:00,woch,11.04.2022,11.07.2022,, ,,"Schüte, M.; Holzmann, H.; "
LV-12-079-017,Algorithmen und Datenstrukturen,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Informatik (20052), LA an Gymn Informatik (20052), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20162), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Wirtschaftsinformatik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Bildende Kunst (20112), Master Bildende Kunst (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Deutsche Sprache und Literatur (20112), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20052), Bachelor Deutsche Sprache und Literatur (20112), LA E Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Wirtschaftsmathematik (20162), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Bildende Kunst (20181), Master Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Mathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Master Betriebswirtschaftslehre (20202), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Geographie (20202), Bachelor Geographie (20202), Master Geschichte (20082), Master Cultural Data Studies (20212), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052), Bachelor Geographie (20061)","CS 210(120791130), CS 210L(1214110), CS 210L(1225700), CS 210(12820130), CS210(128220010)","CS 210(25-079-20052), CS 210L(25-079-20132), CS 210L(25-079-20182), CS 210(82-MAT-20102), CS210(82-079-20162)",,SoSe 2022,Algorithmen und Datenstrukturen,1. PG,Mo,10:00,12:00,woch,11.04.2022,11.07.2022,2370/+2/0010, ,,"Komusiewicz, C.; "
LV-12-079-017,Algorithmen und Datenstrukturen,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Informatik (20052), LA an Gymn Informatik (20052), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20162), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Wirtschaftsinformatik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Bildende Kunst (20112), Master Bildende Kunst (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Deutsche Sprache und Literatur (20112), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20052), Bachelor Deutsche Sprache und Literatur (20112), LA E Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Wirtschaftsmathematik (20162), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Bildende Kunst (20181), Master Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Mathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Master Betriebswirtschaftslehre (20202), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Geographie (20202), Bachelor Geographie (20202), Master Geschichte (20082), Master Cultural Data Studies (20212), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052), Bachelor Geographie (20061)","CS 210(120791130), CS 210L(1214110), CS 210L(1225700), CS 210(12820130), CS210(128220010)","CS 210(25-079-20052), CS 210L(25-079-20132), CS 210L(25-079-20182), CS 210(82-MAT-20102), CS210(82-079-20162)",,SoSe 2022,Algorithmen und Datenstrukturen,1. PG,Mi,10:00,12:00,woch,13.04.2022,13.07.2022,2370/+1/0020, ,,"Komusiewicz, C.; "
LV-12-079-017,Algorithmen und Datenstrukturen,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Informatik (20052), LA an Gymn Informatik (20052), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20162), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Wirtschaftsinformatik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Bildende Kunst (20112), Master Bildende Kunst (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Deutsche Sprache und Literatur (20112), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20052), Bachelor Deutsche Sprache und Literatur (20112), LA E Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Wirtschaftsmathematik (20162), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Bildende Kunst (20181), Master Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Mathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Master Betriebswirtschaftslehre (20202), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Geographie (20202), Bachelor Geographie (20202), Master Geschichte (20082), Master Cultural Data Studies (20212), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052), Bachelor Geographie (20061)","CS 210(120791130), CS 210L(1214110), CS 210L(1225700), CS 210(12820130), CS210(128220010)","CS 210(25-079-20052), CS 210L(25-079-20132), CS 210L(25-079-20182), CS 210(82-MAT-20102), CS210(82-079-20162)",,SoSe 2022,Algorithmen und Datenstrukturen,1. PG,Mi,11:00,14:00,Einzel,27.07.2022,27.07.2022,2370/+2/0010, ,,"Komusiewicz, C.; "
LV-12-079-017,Algorithmen und Datenstrukturen,Vorlesung,"Master Geschichte (20192), Bachelor Geschichte (20122), Bachelor Geschichte (20192), LA an Gymn Informatik (20052), LA an Gymn Informatik (20052), LA an Gymn Informatik (20132), LA an Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20162), Bachelor Informatik (20102), Bachelor Informatik (20102), Bachelor Informatik (20162), Bachelor Informatik (20162), Bachelor Psychologie (20111), Master Gesch. d. Int. Politik (20122), Bachelor Psychologie (20111), Bachelor Data Science (20162), Master Mathematik (20162), Bachelor Mathematik (20102), Bachelor Mathematik (20102), Bachelor Wirtschaftsinformatik (20162), Bachelor Mathematik (20162), Bachelor Mathematik (20162), Master Bildende Kunst (20112), Master Bildende Kunst (20162), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Physik (20092), Bachelor Erziehungs- und Bildungswissenschaft (20122), Bachelor Deutsche Sprache und Literatur (20112), Bachelor Physik (20092), Master Prähist. Archäologie (20102), LA E Gymn Informatik (20052), Bachelor Deutsche Sprache und Literatur (20112), LA E Gymn Informatik (20132), Bachelor Wirtschaftsmathematik (20102), Bachelor Wirtschaftsmathematik (20102), Master Geschichte (20122), Bachelor Geschichte (20122), Bachelor Archäologische Wissenschaften (20111), Bachelor Wirtschaftsmathematik (20162), Bachelor Data Science (20162), Bachelor Wirtschaftsinformatik (20162), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Bildende Kunst (20181), Master Betriebswirtschaftslehre (20182), Master Klassische / Christliche und Byzantinische Archäologie (20192), Bachelor Archäologische Wissenschaften (20111), Bachelor Archäologische Wissenschaften (20211), Bachelor Informatik (20181), Bachelor Mathematik (20181), Bachelor Mathematik (20181), Bachelor Informatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsinformatik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Wirtschaftsmathematik (20181), Bachelor Data Science (20181), Bachelor Data Science (20181), Master Mathematik (20181), Bachelor Physik (20182), Bachelor Physik (20182), Master Physik - Vertiefung und Forschung (20182), LA an Gymn Informatik (20182), LA an Gymn Informatik (20182), LA E Gymn Informatik (20182), Master Betriebswirtschaftslehre (20202), Master Physik - Vertiefung und Forschung (20201), Bachelor Archäologische Wissenschaften (20211), Bachelor Physik (20191), Bachelor Physik (20191), Bachelor Mathematik (7 Sem.) (20212), Master Physik - Vertiefung und Forschung (20191), Bachelor Mathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Wirtschaftsmathematik (7 Sem.) (20212), Bachelor Archäologische Wissenschaften (20192), Bachelor Archäologische Wissenschaften (20192), Bachelor Erziehungs- und Bildungswissenschaft (20202), Master Prähistorische Archäologie / Geoarchäologie (20192), Bachelor Geschichte (20192), Bachelor Physik (20201), Bachelor Physik (20201), Bachelor Geographie (20202), Bachelor Geographie (20202), Master Geschichte (20082), Master Cultural Data Studies (20212), Bachelor Geschichte (20211), Bachelor Geschichte (20211), Master Geschichte (20211), Master Prähistorische Archäologie / Geoarchäologie (20211), Master Klassische / Christliche und Byzantinische Archäologie (20211), Master Prähist. Archäologie (20052), Bachelor Geographie (20061)","CS 210(120791130), CS 210L(1214110), CS 210L(1225700), CS 210(12820130), CS210(128220010)","CS 210(25-079-20052), CS 210L(25-079-20132), CS 210L(25-079-20182), CS 210(82-MAT-20102), CS210(82-079-20162)",,SoSe 2022,Algorithmen und Datenstrukturen,1. PG,Fr,13:00,17:00,Einzel,30.09.2022,30.09.2022,2370/+1/0020, ,,"Komusiewicz, C.; "
